grid_id,학교거리,학교반경내여부,어린이보호구역여부,도로폭,차로수,일방통행여부,이면도로여부,보행등밀도,보행자신호등밀도,가로등밀도,바닥형보행신호등설치밀도,버스서비스강도,음식점밀도,공원접근성,편의점밀도
SEOUL_R005_C047,559.18964,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,1.9213483146067416,0.0,0.0
SEOUL_R005_C048,253.1873,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.584795321637427,1.0,0.0350877192982456
SEOUL_R005_C049,501.82617,0.0,1.0,0.0,0.0,1.0,0.0,24.0,24.0,,8.0,7.5,71.4578313253012,1.0,9.69578313253012
SEOUL_R005_C050,413.6312,1.0,1.0,0.0,0.0,1.0,0.0,52.0,52.0,76.0,4.0,3.6,51.27586206896552,1.0,7.655172413793103
SEOUL_R005_C051,400.61902,1.0,0.0,0.0,0.0,1.0,0.0,72.0,72.0,,24.0,8.8,146.4943181818182,1.0,11.855113636363637
SEOUL_R005_C052,470.935,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,,,113.175,1.0,7.45
SEOUL_R005_C053,818.09985,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C054,1043.9414,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R005_C055,1002.17535,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.6923076923076923
SEOUL_R005_C056,1177.4794,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,2.0,1.0,1.3417721518987342
SEOUL_R005_C057,1350.02,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1.5,2.8,1.0,0.1428571428571428
SEOUL_R005_C058,1480.6782,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R006_C040,2250.2803,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R006_C041,2063.087,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0
SEOUL_R006_C042,1842.898,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14.24731182795699,0.0,0.0
SEOUL_R006_C043,1738.4165,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.77777777777778,0.0,0.0
SEOUL_R006_C044,1459.993,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R006_C045,1037.7181,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R006_C046,763.1232,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R006_C047,723.605,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,10.580645161290322,1.0,1.1290322580645162
SEOUL_R006_C048,237.32971,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,,8.0,3.0,55.653543307086615,1.0,8.551181102362206
SEOUL_R006_C049,288.39557,1.0,0.0,0.0,0.0,1.0,0.0,116.0,116.0,,48.0,6.166666666666667,113.09936575052852,1.0,12.59830866807611
SEOUL_R006_C050,138.15584,1.0,1.0,0.0,0.0,1.0,0.0,40.0,40.0,48.0,16.0,2.75,56.84981684981685,1.0,5.468864468864469
SEOUL_R006_C051,75.42084,1.0,1.0,0.0,0.0,1.0,0.0,88.0,88.0,,64.0,8.0,75.75806451612904,1.0,5.286290322580644
SEOUL_R006_C052,139.34647,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,,,,58.83098591549296,1.0,4.309859154929577
SEOUL_R006_C053,578.1956,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R006_C054,592.65356,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R006_C055,515.5385,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,,8.0,7.0,54.23980815347722,1.0,9.47242206235012
SEOUL_R006_C056,688.3148,0.0,1.0,0.0,0.0,1.0,0.0,68.0,68.0,,44.0,5.0,32.733688415446075,1.0,6.733688415446072
SEOUL_R006_C057,953.87305,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,3.0923076923076924,1.0,0.5692307692307692
SEOUL_R006_C058,1268.1526,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,
SEOUL_R007_C040,1872.9613,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R007_C041,1660.6156,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R007_C042,1382.8583,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9.2,0.0,0.0
SEOUL_R007_C043,1240.2083,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12.505154639175258,0.0,0.0
SEOUL_R007_C044,1178.4584,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,0.0,0.0
SEOUL_R007_C045,777.15186,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R007_C046,330.85193,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,0.2592592592592592,1.0,0.0
SEOUL_R007_C047,236.12311,1.0,1.0,0.0,0.0,0.0,0.0,80.0,80.0,,16.0,1.7272727272727273,58.08450704225352,1.0,12.330985915492958
SEOUL_R007_C048,459.18533,1.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,,,1.8,109.95238095238096,1.0,18.44334975369458
SEOUL_R007_C049,333.47165,1.0,0.0,0.0,0.0,1.0,0.0,156.0,156.0,,96.0,6.545454545454546,166.12401055408972,1.0,12.725593667546178
SEOUL_R007_C050,261.68777,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,68.0,4.0,,43.58771929824562,1.0,1.3596491228070178
SEOUL_R007_C051,197.8244,1.0,1.0,0.0,0.0,1.0,0.0,56.0,56.0,,8.0,12.666666666666666,44.34883720930232,1.0,6.209302325581396
SEOUL_R007_C052,51.955696,1.0,1.0,0.0,0.0,0.0,0.0,96.0,96.0,,48.0,,23.150943396226417,1.0,1.3773584905660377
SEOUL_R007_C053,81.79409,1.0,1.0,0.0,0.0,0.0,0.0,48.0,48.0,,32.0,,31.096774193548388,1.0,4.741935483870968
SEOUL_R007_C054,335.6528,1.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,,,,16.532258064516128,1.0,1.8225806451612905
SEOUL_R007_C055,164.93784,1.0,1.0,0.0,0.0,1.0,0.0,80.0,80.0,,32.0,3.5,89.41809290953545,1.0,11.657701711491445
SEOUL_R007_C056,247.17772,1.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,,4.0,3.0,70.57731958762886,1.0,8.79896907216495
SEOUL_R007_C057,705.1194,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,1.0,0.0
SEOUL_R007_C058,1119.9803,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R008_C039,2055.3623,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R008_C040,1748.1824,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R008_C041,1326.2582,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0
SEOUL_R008_C042,956.1542,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.419354838709677,0.0,0.0
SEOUL_R008_C043,744.4064,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,,12.0,2.5,40.40562248995984,0.0,0.0
SEOUL_R008_C044,824.5969,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,,20.0,5.6,32.90526315789474,0.0,0.0
SEOUL_R008_C045,474.37695,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,4.5,16.43010752688172,1.0,0.913978494623656
SEOUL_R008_C046,263.7766,1.0,0.0,0.0,0.0,1.0,0.0,64.0,64.0,,,4.0,28.33606557377049,1.0,3.7868852459016393
SEOUL_R008_C047,63.832134,1.0,1.0,0.0,0.0,1.0,0.0,96.0,96.0,,48.0,4.428571428571429,106.08029197080292,1.0,13.64963503649635
SEOUL_R008_C048,522.64215,0.0,1.0,0.0,0.0,1.0,0.0,104.0,104.0,,96.0,2.909090909090909,157.9679358717435,1.0,16.082164328657313
SEOUL_R008_C049,351.85873,1.0,1.0,0.0,0.0,1.0,0.0,64.0,64.0,80.0,52.0,2.0,88.35812672176309,1.0,4.011019283746556
SEOUL_R008_C050,36.06203,1.0,1.0,0.0,0.0,1.0,0.0,96.0,96.0,12.0,56.0,3.5,16.534313725490197,1.0,0.6029411764705882
SEOUL_R008_C051,167.56999,1.0,1.0,0.0,0.0,1.0,0.0,80.0,80.0,48.0,24.0,6.6,20.383333333333333,1.0,2.4166666666666665
SEOUL_R008_C052,217.88399,1.0,1.0,0.0,0.0,1.0,0.0,144.0,144.0,,72.0,4.5,27.38095238095238,1.0,3.365079365079365
SEOUL_R008_C053,142.78812,1.0,1.0,0.0,0.0,0.0,0.0,80.0,80.0,,16.0,3.4,104.56108597285068,1.0,9.57918552036199
SEOUL_R008_C054,371.90515,1.0,0.0,0.0,0.0,1.0,0.0,80.0,80.0,,48.0,4.6,119.146110056926,1.0,7.9620493358633775
SEOUL_R008_C055,273.2868,1.0,1.0,0.0,0.0,1.0,0.0,112.0,112.0,,28.0,2.5,69.11486486486487,1.0,3.243243243243243
SEOUL_R008_C056,385.2485,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.3,1.0,0.5
SEOUL_R008_C057,764.5344,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R008_C058,1094.5774,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R009_C031,735.1535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,,4.0,3.8,0.0,0.0
SEOUL_R009_C032,478.52728,1.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,,,4.0,24.25,0.0,0.625
SEOUL_R009_C038,2418.054,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R009_C039,2060.3103,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R009_C040,1614.0034,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
SEOUL_R009_C041,1122.6206,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.2857142857142856,0.0,0.0
SEOUL_R009_C042,644.62946,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.2666666666666666,0.0,0.0
SEOUL_R009_C043,264.8875,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,30.76630434782609,1.0,1.8043478260869563
SEOUL_R009_C044,442.7015,1.0,1.0,0.0,0.0,0.0,0.0,88.0,88.0,,,5.857142857142857,43.81987577639752,1.0,3.270186335403727
SEOUL_R009_C045,132.5612,1.0,1.0,0.0,0.0,1.0,0.0,56.0,56.0,,,3.6666666666666665,8.85135135135135,1.0,0.6756756756756757
SEOUL_R009_C046,131.35637,1.0,1.0,0.0,0.0,1.0,0.0,112.0,112.0,,48.0,3.4444444444444446,31.720930232558135,1.0,2.565891472868217
SEOUL_R009_C047,25.076384,1.0,1.0,0.0,0.0,0.0,0.0,92.0,92.0,,,3.6666666666666665,62.693548387096776,1.0,4.298387096774194
SEOUL_R009_C048,382.2037,1.0,1.0,0.0,0.0,1.0,0.0,84.0,84.0,,24.0,7.4,127.69565217391306,1.0,8.971014492753623
SEOUL_R009_C049,110.602234,1.0,1.0,0.0,0.0,1.0,0.0,32.0,32.0,,8.0,,47.23566878980892,1.0,3.8980891719745223
SEOUL_R009_C050,113.2552,1.0,1.0,0.0,0.0,1.0,0.0,76.0,76.0,,32.0,4.0,18.008928571428573,1.0,0.9732142857142856
SEOUL_R009_C051,155.07607,1.0,1.0,0.0,0.0,1.0,0.0,,,104.0,,,6.90566037735849,1.0,0.4339622641509434
SEOUL_R009_C052,201.22502,1.0,0.0,0.0,0.0,1.0,0.0,56.0,56.0,,48.0,10.857142857142858,201.1282051282051,1.0,5.147435897435898
SEOUL_R009_C053,21.343065,1.0,1.0,0.0,0.0,0.0,0.0,80.0,80.0,,48.0,4.25,220.99772209567195,1.0,13.633257403189068
SEOUL_R009_C054,196.8785,1.0,1.0,0.0,0.0,1.0,0.0,128.0,128.0,,32.0,3.5,242.26201923076923,1.0,16.44951923076923
SEOUL_R009_C055,110.67649,1.0,1.0,0.0,0.0,1.0,0.0,64.0,64.0,,8.0,3.0,113.86390532544378,1.0,3.1301775147928996
SEOUL_R009_C056,295.58255,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R009_C057,757.33435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R009_C058,1029.8854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R010_C030,1073.7407,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,,,4.0,14.0,0.0,2.857142857142857
SEOUL_R010_C031,748.1419,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,,4.0,10.333333333333334,0.0,1.9393939393939392
SEOUL_R010_C032,253.36954,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.102564102564106,0.0,1.0
SEOUL_R010_C033,247.84341,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,13.17948717948718,0.0,0.4358974358974359
SEOUL_R010_C034,588.9752,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
SEOUL_R010_C038,2522.9612,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R010_C039,2109.752,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R010_C040,1614.4111,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0
SEOUL_R010_C041,1123.2068,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,0.0,0.0
SEOUL_R010_C042,645.6497,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R010_C043,137.34178,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,,,41.14141414141414,1.0,1.7373737373737377
SEOUL_R010_C044,209.75233,1.0,1.0,0.0,0.0,0.0,0.0,60.0,60.0,,,7.0,46.41747572815534,1.0,3.3470873786407767
SEOUL_R010_C045,241.97769,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,4.2727272727272725,1.0,0.84688995215311
SEOUL_R010_C046,135.81662,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,,,3.5,19.666666666666668,1.0,0.7777777777777778
SEOUL_R010_C047,97.56269,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,,,,40.45061728395062,1.0,4.012345679012346
SEOUL_R010_C048,246.52458,1.0,1.0,0.0,0.0,1.0,0.0,52.0,52.0,,8.0,5.875,92.81533101045297,1.0,6.658536585365853
SEOUL_R010_C049,118.254845,1.0,1.0,0.0,0.0,1.0,0.0,36.0,36.0,,16.0,2.5,110.5495867768595,1.0,9.008264462809915
SEOUL_R010_C050,367.1966,1.0,0.0,0.0,0.0,1.0,0.0,116.0,116.0,12.0,64.0,4.375,164.09202453987731,1.0,7.006134969325154
SEOUL_R010_C051,270.95193,1.0,0.0,0.0,0.0,1.0,0.0,104.0,104.0,96.0,16.0,5.0,47.672955974842765,1.0,1.880503144654088
SEOUL_R010_C052,417.194,1.0,0.0,0.0,0.0,1.0,0.0,104.0,104.0,,,7.25,327.0438596491228,1.0,12.587719298245617
SEOUL_R010_C053,333.04468,1.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,,32.0,2.6666666666666665,230.28313253012047,1.0,7.530120481927711
SEOUL_R010_C054,254.62946,1.0,1.0,0.0,0.0,0.0,0.0,84.0,84.0,,32.0,2.5,62.39033457249071,1.0,5.405204460966543
SEOUL_R010_C055,213.34875,1.0,1.0,0.0,0.0,0.0,0.0,92.0,92.0,,32.0,2.3333333333333335,25.410714285714285,1.0,1.1785714285714286
SEOUL_R010_C056,274.31314,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.4761904761904763,1.0,0.0476190476190476
SEOUL_R010_C057,600.5855,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R010_C058,868.83685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C024,1461.0654,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C025,1211.1002,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C028,317.50107,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,6.0,11.714285714285714,0.0,0.0
SEOUL_R011_C029,395.11792,1.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,,8.0,4.4,10.95,0.0,0.575
SEOUL_R011_C030,766.28815,0.0,0.0,0.0,0.0,1.0,0.0,40.0,40.0,,,6.333333333333333,8.346153846153847,0.0,0.6730769230769231
SEOUL_R011_C031,913.267,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.818181818181818,0.0,0.5454545454545453
SEOUL_R011_C032,577.215,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0
SEOUL_R011_C033,576.4527,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C034,793.60974,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C038,2473.0066,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R011_C039,2127.023,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
SEOUL_R011_C040,1659.7881,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C041,1217.0154,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
SEOUL_R011_C042,841.0448,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.5,1.0,0.4090909090909091
SEOUL_R011_C043,504.14108,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,,1.0,94.81151832460732,1.0,5.052356020942408
SEOUL_R011_C044,483.14194,1.0,0.0,0.0,0.0,1.0,0.0,76.0,76.0,,40.0,5.833333333333333,106.12727272727273,1.0,4.093181818181818
SEOUL_R011_C045,374.9748,1.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,,,,32.630102040816325,1.0,4.997448979591836
SEOUL_R011_C046,152.0328,1.0,1.0,0.0,0.0,1.0,0.0,64.0,64.0,,32.0,3.25,42.200520833333336,1.0,2.5520833333333335
SEOUL_R011_C047,93.70124,1.0,1.0,0.0,0.0,1.0,0.0,56.0,56.0,,24.0,17.0,100.82638888888889,1.0,14.055555555555555
SEOUL_R011_C048,33.78281,1.0,0.0,0.0,0.0,1.0,0.0,56.0,56.0,,48.0,2.0,130.25,1.0,9.410493827160494
SEOUL_R011_C049,319.80682,1.0,1.0,0.0,0.0,1.0,0.0,124.0,124.0,,44.0,1.6666666666666667,61.02586206896552,1.0,5.5
SEOUL_R011_C050,251.3611,1.0,1.0,0.0,0.0,1.0,0.0,48.0,48.0,84.0,20.0,3.0,124.0,1.0,5.2375
